Year,Month,Price_alum,Price_gold,Price_nickel,Price_silver,Price_uran,Inflation_rate,Price_alum_infl,Price_gold_infl,Price_nickel_infl,Price_silver_infl,Price_uran_infl
1992,Feb,1266.83,353.91,7861.9,4.15,7.9,89.59,2401.782997,670.977969,14905.37621,7.867985,14.97761
1992,Mar,1280.47,344.34,7417.7,4.11,7.75,89.59,2427.643073,652.834206,14063.21743,7.792149,14.693225
1992,Apr,1317.05,338.62,7420.6,4.05,7.75,89.59,2496.995095,641.989658,14068.71554,7.678395,14.693225
1992,May,1306.79,337.24,7326.8,4.07,7.55,89.59,2477.543161,639.373316,13890.88012,7.716313,14.314045
1992,Jun,1275.55,340.81,7192.8,4.06,7.75,89.59,2418.315245,646.141679,13636.82952,7.697354,14.693225
1992,Jul,1313.05,352.72,7497.9,3.97,7.75,89.59,2489.411495,668.721848,14215.26861,7.526723,14.693225
1992,Aug,1305.05,343.06,7268,3.81,8.05,89.59,2474.244295,650.407454,13779.4012,7.223379,15.261995
1992,Sep,1269.61,345.43,6917.5,3.77,8.75,89.59,2407.053599,654.900737,13114.88825,7.147543,16.589125
1992,Oct,1173.78,344.38,6305.3,3.75,10.25,89.59,2225.369502,652.910042,11954.21827,7.109625,19.432975
1992,Nov,1159.05,335.02,5564.88,3.77,10.5,89.59,2197.442895,635.164418,10550.45599,7.147543,19.90695
1992,Dec,1207.1,334.82,5724.07,3.73,10,89.59,2288.54089,634.785238,10852.26431,7.071707,18.959
1993,Jan,1206.76,329.01,5930.93,3.68,9.8,84.15,2222.24854,605.871915,10921.8076,6.77672,18.0467
1993,Feb,1201.85,329.31,6038.68,3.66,10.1,84.15,2213.206775,606.424365,11120.22922,6.73989,18.59915
1993,Mar,1151.33,330.08,5971.3,3.65,10.2,84.15,2120.174195,607.84232,10996.14895,6.721475,18.7833
1993,Apr,1108.53,342.15,5972.33,3.95,10.35,84.15,2041.357995,630.069225,10998.0457,7.273925,19.059525
1993,May,1123.96,367.18,5762.55,4.46,10.1,84.15,2069.77234,676.16197,10611.73583,8.21309,18.59915
1993,Jun,1165.3,371.89,5532.43,4.38,10.3,84.15,2145.89995,684.835435,10187.96985,8.06577,18.96745
1993,Jul,1202.13,392.19,5036.2,5.02,9.9,84.15,2213.722395,722.217885,9274.1623,9.24433,18.23085
1993,Aug,1172.14,378.84,4721.81,4.84,10.05,84.15,2158.49581,697.63386,8695.213115,8.91286,18.507075
1993,Sep,1115.38,355.28,4352.89,4.22,10.2,84.15,2053.97227,654.24812,8015.846935,7.77113,18.7833
1993,Oct,1087.1,364.18,4448.9,4.34,10.18,84.15,2001.89465,670.63747,8192.64935,7.99211,18.74647
1993,Nov,1039.81,373.83,4633.89,4.53,9.9,84.15,1914.810115,688.407945,8533.308435,8.341995,18.23085
1993,Dec,1094.3,383.3,5119.12,4.97,9.85,84.15,2015.15345,705.84695,9426.85948,9.152255,18.138775
1994,Jan,1174.59,386.88,5577.95,5.15,9.45,79.47,2108.036673,694.333536,10010.74687,9.242705,16.959915
1994,Feb,1269.93,381.91,5824.95,5.25,9.45,79.47,2279.143371,685.413877,10454.03777,9.422175,16.959915
1994,Mar,1289.03,384.13,5587.54,5.44,9.3,79.47,2313.422141,689.398111,10027.95804,9.763168,16.69071
1994,Apr,1278.72,377.27,5407.97,5.35,9.25,79.47,2294.918784,677.086469,9705.683759,9.601645,16.600975
1994,May,1322.59,381.43,6086.65,5.42,9.25,79.47,2373.652273,684.552421,10923.71076,9.727274,16.600975
1994,Jun,1400.58,385.64,6281.84,5.39,9.25,79.47,2513.620926,692.108108,11274.01825,9.673433,16.600975
1994,Jul,1492.42,385.49,6226.76,5.28,9.1,79.47,2678.446174,691.838903,11175.16617,9.476016,16.33177
1994,Aug,1455.36,380.36,5859.5,5.2,9.05,79.47,2611.934592,682.632092,10516.04465,9.33244,16.242035
1994,Sep,1569.22,391.58,6364.75,5.52,9.45,79.47,2816.279134,702.768626,11422.81683,9.906744,16.959915
1994,Oct,1698.05,389.77,6748.29,5.45,9.5,79.47,3047.490335,699.520219,12111.15606,9.781115,17.04965
1994,Nov,1892.59,384.39,7556.14,5.19,9.6,79.47,3396.631273,689.864733,13561.00446,9.314493,17.22912
1994,Dec,1878.31,379.29,8555.5,4.78,10.4,79.47,3371.002957,680.711763,15354.55585,8.578666,18.66488
1995,Jan,2060.55,378.55,9592.55,4.77,10.78,74.58,3597.30819,660.87259,16746.67379,8.327466,18.819724
